City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,jaciara,-15.9653,-54.9683,28.01,71,57,0.99,BR,1680381208
252,havelian,34.0536,73.1657,12.12,79,9,1.97,PK,1680381208
253,caceres,39.522,-6.3748,13.95,86,69,4.15,ES,1680381208
254,amuntai,-2.4177,115.2494,23.02,97,100,0.37,ID,1680381208
255,safford,32.834,-109.7076,24.3,11,0,4.12,US,1680381208
256,port lincoln,-34.7333,135.8667,14.74,61,80,3.75,AU,1680381024
257,cururupu,-1.8283,-44.8683,22.74,99,100,0.85,BR,1680381209
258,sept-iles,50.2001,-66.3821,-0.53,92,100,6.17,CA,1680380980
259,barra do garcas,-15.89,-52.2567,31.32,55,20,2.57,BR,1680381209
260,laguna,38.421,-121.4238,18.36,54,0,4.12,US,1680380848
261,atar,20.5169,-13.0499,30.87,6,0,3.69,MR,1680381209
262,haapiti,-17.5667,-149.8667,30.85,76,10,5.22,PF,1680381209
263,praia da vitoria,38.7333,-27.0667,18.14,88,40,8.45,PT,1680381210
264,hovd,48.0056,91.6419,-13.28,47,100,2.86,MN,1680381210
265,kuala lipis,4.1842,102.0468,22.67,94,93,0.28,MY,1680381210
266,yingcheng,30.95,113.55,16.02,75,0,3.56,CN,1680381210
267,coronado,32.6859,-117.1831,22.65,64,0,6.17,US,1680381017
268,strezhevoy,60.7333,77.5889,-1.72,79,100,6.44,RU,1680381129
269,iqaluit,63.7506,-68.5145,-12.15,72,20,2.57,CA,1680381211
270,ilulissat,69.2167,-51.1,-11.99,72,20,3.6,GL,1680381211
271,mount isa,-20.7333,139.5,22.87,38,92,2.57,AU,1680381211
272,bonavista,48.6499,-53.1147,0.57,81,62,2.12,CA,1680381211
273,vanimo,-2.6741,141.3028,24.77,88,34,1.92,PG,1680381211
274,corinto,37.9407,22.9573,16.61,80,94,2.73,GR,1680381211
275,yumen,40.2833,97.2,-1.64,30,27,6.76,CN,1680381212
276,saint-augustin,51.226,-58.6502,-0.3,73,58,5.42,CA,1680381212
277,dong hoi,17.4833,106.6,23.77,93,1,2.46,VN,1680381212
278,husavik,66.0449,-17.3389,0.87,78,2,6.79,IS,1680381212
279,jumla,29.2747,82.1838,2.7,92,77,1.39,NP,1680381212
280,mayor pablo lagerenza,-19.9309,-60.7718,32.36,45,87,2.79,PY,1680381212
281,roswell,34.0232,-84.3616,27.27,22,0,12.86,US,1680380825
282,harnosand,62.6323,17.9379,-5.0,83,7,4.1,SE,1680381213
283,bom sucesso,-21.0331,-44.7581,20.71,82,89,0.9,BR,1680381213
284,launceston,-41.45,147.1667,6.2,90,83,2.57,AU,1680381025
285,la roda,39.2167,-2.15,16.85,53,41,10.36,ES,1680381213
286,vilhena,-12.7406,-60.1458,31.12,48,40,2.57,BR,1680381213
287,oriximina,-1.7656,-55.8661,27.05,81,94,0.2,BR,1680381214
288,praia,14.9215,-23.5087,29.3,26,0,6.69,CV,1680380820
289,clyde river,70.4692,-68.5914,-21.87,77,20,5.14,CA,1680381214
290,kurilsk,45.2333,147.8833,-1.45,84,20,4.3,RU,1680381214
291,hede,33.7681,120.2517,8.58,69,0,2.48,CN,1680381214
292,san quintin,30.4833,-115.95,16.81,63,0,6.91,MX,1680381214
293,pangnirtung,66.1451,-65.7125,-14.33,89,69,1.3,CA,1680381214
294,kolokani,13.5728,-8.0339,29.11,7,72,3.57,ML,1680381215
295,mpanda,-6.3655,31.0409,18.39,97,96,0.3,TZ,1680381215
296,moerai,-22.4333,-151.3333,26.17,78,16,6.78,PF,1680381215
297,airai,-8.9266,125.4092,15.23,95,100,0.95,TL,1680381215
298,saint george,37.1041,-113.5841,18.57,28,0,3.09,US,1680381215
299,sampit,-2.5333,112.95,23.09,99,99,0.88,ID,1680381215
300,tshikapa,-6.4167,20.8,21.01,95,100,1.06,CD,1680381216
301,korla,41.7597,86.1469,5.88,20,0,2.5,CN,1680381216
302,samarai,-10.6167,150.6667,27.77,76,100,3.45,PG,1680381216
303,balsas,-7.5325,-46.0356,25.66,66,99,1.43,BR,1680381216
304,santa fe,-31.6333,-60.7,26.08,41,0,1.79,AR,1680380792
305,nelson bay,-32.7167,152.15,15.56,96,63,4.92,AU,1680381216
306,touros,-5.1989,-35.4608,26.63,78,100,5.36,BR,1680381217
307,hualmay,-11.0964,-77.6139,25.41,78,100,4.12,PE,1680381217
308,doha,25.2867,51.5333,19.99,52,0,10.8,QA,1680381217
309,dwarka,22.2394,68.9678,24.44,74,3,5.02,IN,1680381217
